inci_name,active_family,cosing_function,cas_number,common_synonyms,brief_description,source_url
Squalane,Supporting/Barrier,Skin conditioning - emollient,111-01-3,Hydrogenated Squalene; Perhydrosqualene,"Fully saturated (hydrogenated) form of squalene, a lipid naturally present in human sebum; used as a lightweight, non-comedogenic emollient that reduces transepidermal water loss without the oxidative instability of unsaturated squalene. Plant-derived (olive, sugarcane) sourcing has largely replaced the older shark-liver-oil source. Compatible with essentially all other actives; commonly used to cushion irritation from retinoids, acids, or benzoyl peroxide.",https://www.specialchem.com/cosmetics/inci-ingredients/squalane
Sodium Isethionate,Surfactant Support,Buffering; Humectant,1562-00-1,Isethionic Acid Sodium Salt,Isethionate salt often present in mild surfactant systems.,https://pubchem.ncbi.nlm.nih.gov/compound/517063
Cocamidopropyl Betaine,Surfactants,Cleansing; Surfactant; Foam boosting,61789-40-0,CAPB,Amphoteric surfactant widely used in gentle cleansers and shampoos.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Coco-Glucoside,Surfactants,Cleansing; Surfactant; Emulsifying,141464-42-8,Coconut Alkyl Glucoside,Nonionic sugar-based surfactant commonly used in gentle wash-off products.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Decyl Glucoside,Surfactants,Cleansing; Surfactant; Emulsifying,54549-24-5,Decyl Polyglucoside,Nonionic sugar-derived surfactant used in gentle cleansing systems.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Sodium Laureth Sulfate,Surfactants,Cleansing; Surfactant; Foaming,9004-82-4,SLES,Anionic surfactant used for cleansing and foaming in wash-off products.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Sodium Lauroyl Glycinate,Surfactants,Cleansing; Surfactant,18777-32-7,Sodium N-Lauroylglycinate,Amino-acid-based anionic surfactant used in mild cleansers.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Sodium Lauroyl Isethionate,Surfactants,Cleansing; Surfactant,7381-01-3,SLI,Mild anionic surfactant frequently used in syndet bars and gentle cleansers.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Sodium Lauroyl Sarcosinate,Surfactants,Cleansing; Surfactant,137-16-6,Sarkosyl,Mild anionic surfactant used in facial and body cleansers.,https://pubchem.ncbi.nlm.nih.gov/compound/23668810
Sodium Lauryl Sulfate,Surfactants,Cleansing; Surfactant; Foaming,151-21-3,SLS,Strong anionic surfactant used in cleansing formulations.,https://pubchem.ncbi.nlm.nih.gov/compound/3423265
Sodium Methyl Cocoyl Taurate,Surfactants,Cleansing; Surfactant,12765-39-8,SMCT,Mild anionic taurine-derived surfactant used in facial cleansers.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Sodium Lauroyl Lactylate,Surfactants / Emulsifiers,Surfactant; Emulsifying; Skin conditioning,13557-75-0,SLL,Anionic emulsifier/surfactant also used in barrier-lipid delivery systems.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Silica,Texture / Absorbents,Absorbent; Anticaking; Bulking,7631-86-9,Silicon Dioxide,"Mineral powder used for texture, oil absorption and optical effects.",https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Sodium Chloride,Texture / Electrolytes,Viscosity controlling; Bulking,7647-14-5,Salt,Electrolyte commonly used to adjust viscosity in surfactant systems.,https://pubchem.ncbi.nlm.nih.gov/compound/5234
Acrylates Copolymer,Texture / Polymers,Film forming; Viscosity controlling,,Acrylic Copolymer,"Broad INCI class for acrylic polymers used for film formation, suspension and texture.",https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Texture / Polymers,Viscosity controlling; Stabilising,,Pemulen-type polymer,"Polymeric thickener and emulsion stabilizer common in gels, lotions and sunscreens.",https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Carbomer,Texture / Polymers,Viscosity controlling; Gel forming,9007-20-9,Carbopol,Crosslinked polymer used to thicken water-based gels and emulsions.,https://pubchem.ncbi.nlm.nih.gov/compound/6581
Hydroxyethylcellulose,Texture / Polymers,Viscosity controlling; Film forming,9004-62-0,HEC,"Cellulose-derived thickener used in gels, serums and cleansers.",https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Sodium Polyacrylate,Texture / Polymers,Viscosity controlling; Film forming,9003-04-7,Poly(acrylic acid) sodium salt,"Water-binding polymer used for thickening, suspension and texture.",https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Xanthan Gum,Texture / Polymers,Viscosity controlling; Stabilising,11138-66-2,Xanthan,Polysaccharide thickener and stabilizer used in aqueous formulations.,https://pubchem.ncbi.nlm.nih.gov/compound/131750926
Tranexamic Acid,Tranexamic Acid,Skin conditioning,1197-18-8,TXA,"Works via the plasmin pathway rather than direct tyrosinase inhibition; blocks UV- and hormone-triggered melanocyte signaling,  making it especially effective for melasma and UV-driven pigmentation.",https://cosingchecker.com/
Avobenzone,UV Filter,UV filter; Antioxidant (reported),70356-09-1,Butyl Methoxydibenzoylmethane; BMDBM; Parsol 1789,"The only organic UV filter providing strong broad-spectrum UVA1/UVA2 absorption (EU Annex VI entry 8, max 5%; US max 3%); chemically unstable and photodegrades under UV exposure unless paired with a stabilizer (commonly Octocrylene), losing SPF potency over the day and forming breakdown products (arylglyoxals, benzils) linked in the literature to occasional photoallergic reactions.",https://www.specialchem.com/cosmetics/inci-ingredients/butyl-methoxydibenzoylmethane
Homosalate,UV Filter,Skin conditioning; UV absorber; UV filter,118-56-9,Homomenthyl Salicylate; HMS,"Salicylate-based UVB chemical filter (peak ~306nm) also used as a solvent that helps dissolve less-soluble UV filters into a formula; not photostable on its own. Permitted to 15% in the US and 10% in the EU. SCCS review has flagged possible endocrine-disrupting activity as an open question, and the EU is re-assessing its concentration limits.",https://www.cosmeticsinfo.org/ingredient/homosalate/
Octinoxate,UV Filter,Light stabilizer; UV absorber; UV filter,5466-77-3,Ethylhexyl Methoxycinnamate; Octyl Methoxycinnamate; OMC; EHMC,UVB-only chemical filter (peak absorption ~310nm); one of the most widely used sunscreen actives globally. US max 7.5%; the EU's SCCS concluded in 2025 that EHMC is safe as a UV filter up to 10% including in children. Frequently combined with UVA filters like Avobenzone for broad-spectrum coverage.,https://www.specialchem.com/cosmetics/inci-ingredients/ethylhexyl-methoxycinnamate
Octocrylene,UV Filter,Light stabilizer; UV absorber; UV filter,6197-30-4,"2-Ethylhexyl 2-cyano-3,3-diphenylacrylate; photostabilizer for Avobenzone","Oil-soluble UVB/short-UVA chemical filter (US max 10%) valued mainly as a photostabilizer for Avobenzone (raises its photostability from roughly 23% to 90% remaining after UV exposure); also used at low levels (0.2-0.5%) as a non-sunscreen light stabilizer in nail products. Long believed non-sensitizing, but recent dermatology literature documents a rising rate of contact and photocontact allergy, some cross-reacting with ketoprofen/benzophenone-3.",https://cosmeticobs.com/en/ingredients/octocrylene-678
Titanium Dioxide,UV Filter,"Cosmetic colorant (White, CI 77891); Opacifier; UV absorber; UV filter",13463-67-7,CI 77891; Titanium White; TiO2,"Physical/mineral UV filter that reflects and scatters UVA and UVB; also the most common white pigment/opacifier in cosmetics generally. FDA GRASE up to 25%, alongside Zinc Oxide. Inhalable powder/nano forms carry a separate GHS respiratory and carcinogenicity caution that applies to loose powder or spray products, not standard cream-based topical sunscreen.",https://www.specialchem.com/cosmetics/inci-ingredients/titanium-dioxide
Zinc Oxide,UV Filter,Bulking; Cosmetic colorant (CI 77947); Skin protecting; UV absorber; UV filter,1314-13-2,Zinc White; CI 77947; ZnO,Physical/mineral UV filter that sits on the skin surface and reflects/scatters UVA and UVB rather than absorbing it chemically; also used at lower levels as a skin-protecting agent and white colorant. One of only two sunscreen actives (with Titanium Dioxide) the FDA classifies GRASE (safe and effective) up to 25% concentration; EU prohibits nano-ZnO in spray or powder cosmetic formats.,https://www.specialchem.com/cosmetics/inci-ingredients/zinc-oxide
Benzophenone-3,UV Filters,UV filter,131-57-7,Oxybenzone,Organic UV filter listed by FDA among sunscreen actives.,https://www.fda.gov/drugs/understanding-over-counter-medicines/sunscreen-how-help-protect-your-skin-sun
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,UV Filters,UV filter,187393-00-6,Bemotrizinol; BEMT; Tinosorb S,Broad-spectrum organic UV filter authorized in multiple non-U.S. markets; regulatory status is jurisdiction-specific.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Butyl Methoxydibenzoylmethane,UV Filters,UV filter,70356-09-1,Avobenzone,UVA sunscreen active listed by FDA among commonly used sunscreen ingredients.,https://www.fda.gov/drugs/understanding-over-counter-medicines/sunscreen-how-help-protect-your-skin-sun
Ethylhexyl Methoxycinnamate,UV Filters,UV filter,5466-77-3,Octinoxate; Octyl Methoxycinnamate,Organic UVB filter used in sunscreen products.,https://www.fda.gov/drugs/understanding-over-counter-medicines/sunscreen-how-help-protect-your-skin-sun
Ethylhexyl Salicylate,UV Filters,UV filter,118-60-5,Octisalate; Octyl Salicylate,Organic UVB filter used in sunscreen formulations.,https://www.fda.gov/drugs/understanding-over-counter-medicines/sunscreen-how-help-protect-your-skin-sun
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,UV Filters,UV filter,103597-45-1,Bisoctrizole; MBBT; Tinosorb M,Broad-spectrum particulate organic UV filter; regulatory status varies by jurisdiction.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Phenylbenzimidazole Sulfonic Acid,UV Filters,UV filter,27503-81-7,Ensulizole,Water-soluble UVB filter used in sunscreen products.,https://www.fda.gov/drugs/understanding-over-counter-medicines/sunscreen-how-help-protect-your-skin-sun
3-O-Ethyl Ascorbic Acid,Vitamin C,Antioxidant; Skin conditioning,86404-04-8,Ethyl Ascorbic Acid; 3-O-Ethyl-L-Ascorbic Acid,Ethylated vitamin C derivative designed for improved stability in cosmetic formulas.,COSING
Ascorbic Acid,Vitamin C,Antioxidant; Skin conditioning,50-81-7,Vitamin C; L-Ascorbic Acid,"Pure form of vitamin C; scavenges free radicals and helps brighten skin tone and support collagen,  but is unstable and can irritate at high strength.",https://cosmeticobs.com/en/ingredients/ascorbic-acid-429
Ascorbyl Glucoside,Vitamin C,Antioxidant; Skin conditioning,129499-78-1,AA2G; Ascorbic Acid 2-Glucoside,"A stabilized,  water-soluble vitamin C derivative that converts to ascorbic acid in skin; gentler and more shelf-stable than pure vitamin C.",https://www.specialchem.com/cosmetics/inci-ingredients/ascorbyl-glucoside
Magnesium Ascorbyl Phosphate,Vitamin C,Skin conditioning; Antioxidant,113170-55-1,MAP,Stable vitamin C derivative favored for sensitive or oily skin; supports collagen synthesis and mild brightening with lower irritation risk.,https://www.bocsci.com/product/magnesium-ascorbyl-phosphate-cas-113170-55-1-81863.html
Sodium Ascorbyl Phosphate,Vitamin C,Skin conditioning - humectant; Antioxidant,66170-10-3,SAP,"Stable,  water-soluble vitamin C derivative with added anti-acne/antibacterial benefit; converts slowly to active ascorbic acid in skin.",https://www.cir-safety.org/sites/default/files/ascorb002019SLR.pdf
Tetrahexyldecyl Ascorbate,Vitamin C,Antioxidant; Skin conditioning,183476-82-6,THD Ascorbate,Oil-soluble vitamin C derivative used in lipid-based and emulsion formulations.,COSING
Tocopherol,Vitamin E,Antioxidant; Skin conditioning,59-02-9,Vitamin E; Alpha-Tocopherol,Lipid-soluble antioxidant used to support formula and skin-surface antioxidant protection.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Tocopheryl Acetate,Vitamin E,Antioxidant; Skin conditioning,7695-91-2,Vitamin E Acetate,Stable ester of vitamin E used as a conditioning antioxidant ingredient.,https://pubchem.ncbi.nlm.nih.gov/compound/86472
Potassium Hydroxide,pH Adjusters,Buffering; pH adjusting,1310-58-3,KOH; Caustic Potash,Strong base used in small amounts to adjust formulation pH or support soap formation.,https://pubchem.ncbi.nlm.nih.gov/compound/14797
Sodium Hydroxide,pH Adjusters,Buffering; pH adjusting,1310-73-2,Caustic Soda,Strong base used in very small amounts to adjust formulation pH.,https://pubchem.ncbi.nlm.nih.gov/compound/14798
Triethanolamine,pH Adjusters,Buffering; Emulsifying; Surfactant,102-71-6,TEA,Amine used for pH adjustment and to neutralize certain thickeners or fatty acids.,https://pubchem.ncbi.nlm.nih.gov/compound/7618
Sodium Citrate,pH Adjusters / Chelators,Buffering; Chelating,68-04-2,Trisodium Citrate,Citrate salt used to buffer pH and support formula stability.,https://pubchem.ncbi.nlm.nih.gov/compound/6224
